Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
840201;Tarif réduit pour les charbons consommés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS pour les installations fixes (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;22;14;12
840202;Tarif réduit pour les charbons consommés dans les installations grandes consommatrices d'énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;-;-
900101;Crédit d’impôt (prélèvement sur le produit brut des jeux dans les casinos) au titre des manifestations artistiques de qualité organisées par les casinos durant la saison des jeux;Autres droits;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;9;classement;10
930101;Exonération pour les véhicules utilisés pour certains services publiques et missions d'intérêt général (la défense nationale, la protection civile, la lutte contre les incendies, les secours, le maintien de l’ordre et l’entretien des voies de circulation);Autres droits;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
930102;Exonération pour les véhicules de collection;Autres droits;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
930103;Exonération pour les véhicules utilisés pour les besoins des jeux et manèges forains, des cirques, des centres équestres et des activités agricoles ou forestières;Autres droits;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
940101;Exonération pour les véhicules accessibles en fauteuil roulant et pour les véhicules acquis par les personnes titulaires d'une carte d'invalidité;Autres droits;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
940102;Exonération pour les véhicules dont la source d’énergie est exclusivement l'électricité, l'hydrogène ou une combinaison des deux;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;298;nc;986
940103;Exonération pour les véhicules de tourisme pour les véhicules hybrides électriques présentant une autonomie en mode tout électrique supérieure à 50 km;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;312;nc;988
940104;Exonération pour les véhicules exclusivement affectés aux missions de protection des services d’incendie et de secours et des associations agréées de protection civile;Autres droits;Sécurités;161;Sécurité civile;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
940201;Réduction de la masse en ordre de marche, prise en compte dans le tarif de la taxe, à hauteur de 200 kg par enfant à charge ou accueilli au titre de l’aide sociale, lorsque le nombre d’enfants au sein du foyer est d’au moins trois;Autres droits;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
940202;Réduction de la masse en ordre de marche, prise en compte dans le tarif de la taxe, à hauteur de 500 kg pour les véhicules comportant au moins huit places assises dont disposent les personnes morales;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;27;ε;70
940203;Minoration du montant de la taxe de manière à ce que, cumulé avec le malus CO2, il n’excède pas le montant maximal dudit malus;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
940204;Abattement de malus masse au profit des véhicules hybrides non rechargeables et des véhicules hybrides rechargeables moins performants;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;39
970102;Exonération  pour les véhicules accessibles en fauteuil roulant et pour les véhicules acquis par les personnes titulaires d'une carte d'invalidité;Autres droits;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;nc;ε
970103;Réduction des émissions de CO2, ou de la puissance administrative, prises en compte dans le barème du malus à hauteur de 40 %, ou de deux CV, pour certains véhicules de tourisme dont la source d'énergie comprend le superéthanol E85;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;38;ε;31
970104;Réduction des émissions, ou de la puissance administrative, prises en compte dans le barème du malus à hauteur de 20 grammes par kilomètre, ou d'un CV, par enfant à charge ou accueilli au titre de l’aide sociale, lorsque le nombre d’enfants au sein du foyer est d’au moins trois;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;19;16;23
970105;Réduction des émissions, ou de la puissance administrative, prises en compte dans le barème du malus à hauteur de 80 grammes par kilomètre, ou de 4 CV, pour les véhicules comportant au moins 8 places assises dont disposent les personnes morales;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;205;nc;580
970106;Plafonnement à 50 % du prix des véhicules;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;-;-
970107;Exonération pour les véhicules exclusivement affectés aux missions de protection des services d’incendie et de secours et des associations agréées de protection civile;Autres droits;Sécurités;161;Sécurité civile;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
990101;Déductibilité de la composante "émissions dans l'air" des contributions ou dons de toute nature versés aux associations agréées de surveillance de la qualité de l’air;Autres droits;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;25;24;23
990201;Tarif réduit de la composante "déchets" pour la réception de résidus à haut pouvoir calorifique issus des opérations de tri performantes dans une installation de valorisation énergétique dont le rendement excède 0,7;Autres droits;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;1
990202;Tarifs réduits de la composante « déchets » pour les collectivités d'outre-mer relevant de l'article 73 de la Constitution;Autres droits;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;20;19;21
990301;Exonération des réceptions de déchets non dangereux par les installations de co-incinération;Autres droits;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;5;2
